iter	Logloss
0	0.5032776246
1	0.3826408429
2	0.3173315257
3	0.2802172626
4	0.2584495869
5	0.2429533633
6	0.2307183084
7	0.2233747147
8	0.217099308
9	0.2120391263
10	0.2076106553
11	0.2043537243
12	0.2017225208
13	0.1985402741
14	0.1963941424
15	0.1942583383
16	0.1923752815
17	0.1906431291
18	0.1892090065
19	0.1879939545
20	0.1870090934
21	0.1857587125
22	0.1845695488
23	0.183675159
24	0.1829563208
25	0.1822377382
26	0.1814203964
27	0.1797091219
28	0.1786261707
29	0.177972631
30	0.1773683035
31	0.1761496711
32	0.1755463653
33	0.1750870305
34	0.1747705331
35	0.1745097437
36	0.173928873
37	0.1732996771
38	0.1731728987
39	0.1727524339
40	0.1721844454
41	0.171494411
42	0.171184097
43	0.1708616025
44	0.1705108382
45	0.1700195995
46	0.1698209845
47	0.1696199941
48	0.1693603884
49	0.1688563427
50	0.168698594
51	0.1686155353
52	0.1684621697
53	0.1683999999
54	0.1682403245
55	0.1677277128
56	0.1674244664
57	0.1670932888
58	0.1668476239
59	0.1662246003
60	0.1660772968
61	0.1659264062
62	0.1655746522
63	0.1654693032
64	0.1653062168
65	0.1651317436
66	0.1650082372
67	0.1647562122
68	0.1647025367
69	0.1646423121
70	0.1643304951
71	0.1638173942
72	0.1637361209
73	0.1635525414
74	0.1633050532
75	0.1632523049
76	0.1632202575
77	0.1630243417
78	0.1629579575
79	0.1627799783
80	0.162618193
81	0.162299984
82	0.1621164211
83	0.1618785591
84	0.1617791393
85	0.1616177926
86	0.1614835958
87	0.1614200432
88	0.1609797887
89	0.1607511039
90	0.1606976623
91	0.1605802192
92	0.1602658762
93	0.1602010509
94	0.1600621547
95	0.1598432583
96	0.1597081422
97	0.1595160922
98	0.1593117097
99	0.1591499155
100	0.1589358524
101	0.1588036582
102	0.15862382
103	0.1584590642
104	0.158357675
105	0.1582249024
106	0.1580631903
107	0.1577701119
108	0.1576407868
109	0.1574504393
110	0.1572960912
111	0.1569982092
112	0.1568820284
113	0.1566502598
114	0.156427035
115	0.1563328742
116	0.1560969325
117	0.1558235719
118	0.1556585519
119	0.1553259292
120	0.1552289362
121	0.155228632
122	0.1549229569
123	0.1547574688
124	0.1546298911
125	0.1544503605
126	0.1543028074
127	0.1541737609
128	0.1538615723
129	0.1537514646
130	0.1535995707
131	0.1533820134
132	0.1533303237
133	0.1532394711
134	0.1529270197
135	0.1529263218
136	0.1527858297
137	0.1527019807
138	0.1525699542
139	0.1524604066
140	0.1523325633
141	0.1522210705
142	0.152220771
143	0.1520762186
144	0.1519272865
145	0.1517311301
146	0.1516466252
147	0.1515479738
148	0.1514221806
149	0.1513585272
150	0.1513159212
151	0.1511340467
152	0.1510349556
153	0.1510218305
154	0.1509258881
155	0.1507577498
156	0.1506819438
157	0.150661719
158	0.1504962305
159	0.1504633849
160	0.150318595
161	0.1502429283
162	0.1501676395
163	0.1500333627
164	0.1499153545
165	0.14973368
166	0.1495834772
167	0.1495152634
168	0.1493882644
169	0.149225718
170	0.1491874626
171	0.1490745239
172	0.1487312028
173	0.1485663909
174	0.1484637454
175	0.1483465817
176	0.1482480458
177	0.1481605829
178	0.1481160429
179	0.1479275252
180	0.1478167554
181	0.1476512209
182	0.1474588296
183	0.1472555485
184	0.1471817308
185	0.147086267
186	0.1469850858
187	0.1469340797
188	0.1468353766
189	0.1467309953
190	0.1466496251
191	0.1465733647
192	0.1463900522
193	0.1463149582
194	0.1462268194
195	0.1461330734
196	0.146014758
197	0.1459404006
198	0.14583973
199	0.1457635795
